"Traced_NHSNUMBER","DateOfBirth","PatientFirstName","PatientOtherName","PatientSurname","PatientAddress_Line1","PatientAddress_Line2","PatientAddress_Line3","PatientAddress_Line4","PatientAddress_Line5","PatientAddress_Postcode","GPPracticeCode","Practice_Name","contact_telephone","mobile","landline","oslaua","ccg","Flag_Chemo_Radiotherapy","Flag_Respiratory","Flag_HaematologicalCancers","Flag_PregnantWithCongentialHeartDefect","Flag_Transplant","Flag_RareDiseases","gender","Flag_PDSInformallyDeceased","oscty","live_in_england","first_name","middle_name","last_name","city","address_l1","address_l2","county","postcode","nhs_number","carry_supplies","reference_id","full_dob","session_id","csrf_token","phone_number_calls","phone_number_texts","contact","know_nhs_number","check_answers_seen","nhs_letter","basic_care_needs","dietary_requirements","medical_conditions","essential_supplies","updated_at","referenceid","unixtimestamp","created_at","ivr_nhs_number","ivr_postcode","ivr_dob","ivr_customer_callling_number","ivr_current_item_id","ivr_transfer","ivr_fallback_time","ivr_nhs_known","ivr_contact_id","ivr_preferred_phone_number","ivr_phone_number_calls","ivr_postal_code_verified","ivr_delivery_supplies","ivr_carry_supplies","ivr_have_help","ivr_call_timestamp","ivr_umet_needs"
"6074326366","20050810","Jaime","Bergstrom","StantonV","Flat 4Rosemary meadows","Brettberg","Rosie roads","St Buryan","Cornwall","W5 2HH","J82182","CANUTE SURGERY","023 80436277","04988 983912","+44(0)0436007800","Cornwall","03R","1","1","0","1","1","0","2","0","St Buryan","no","Jaime","Bergstrom","StantonV","St Buryan","Flat 4Thomson drive","Mitchell camp","Cornwall","L2F 2YW","6074326366","yes","20200401-326600-A6045D","2006-02-25","eda0a71a87e74f12bc7d8b1b7142a987","ece3ee11b8a246ffa2bdce5313025300","+44(0)3679501434","04805295036","ktdmnyzwfc@wroyjhmn.aty","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2001-01-01 07:41:36","20200401-326600-A6045D","2012-05-12 12:03:25","1996-08-13 18:39:36","6074326366","LS6 5FH","2005-08-10","+44(0)6629 753105","44","FALSE","7","no","e71634c5-eef8-4a2e-b837-4ce55ea2c34d","+44(0)0697745490","+44(0)3679501434","TRUE","FALSE","FALSE","FALSE","2019-02-22 00:43:39",NA
"6424933811","20060913","Herman","Kozey","Rodriguez","Flat 89Mandy way","New Jacquelineland","Owen springs","Newbigging","Fife","NE27 0RE","L81091","WHITELADIES MEDICAL GROUP","0117 9731201","+44(0)0784 011386","08608041316","Fife","10R","1","1","1","0","0","0",NA,"0","Newbigging","no","Herman","Kozey","Rodriguez","Newbigging","467 Frederick parkway","John coves","Fife","BN1R 2XP","6424933811","yes","20200408-905406-16F382","2005-10-06","77da47057128432bb7aa587235c0b70c","93ddbaa144ba4a89be8f2d48725fe703","07321 89343","(00992) 038642","btrfpod@upjd.eui","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1992-03-26 20:07:14","20200408-905406-16F382","1986-01-01 07:10:30","2012-01-20 02:31:25","6424933811","W2 0PG","2006-09-19","+44(0)0268 989444","37","FALSE","3","no","25c30258-bf05-44d6-a2c3-a13330b0ae45","0013692434","07321 89343","TRUE","TRUE","TRUE","TRUE","1986-01-01 18:26:17",NA
"3333340203","20061217","Raven","Deborrah","Cummerata","Studio 22Pearson groves","Burtonchester","Morris extension","Black Callerton",NA,"SS5 5NE","Y04546","RUGBY CRISIS AND HOME TREATMENT TEAM","0330 0669645","00876 252720","+44(0)8896784556",NA,"01E","1","0","0","0","1","1","9","0","Black Callerton","yes","Raven","Deborrah","Cummerata","Black Callerton","789 Bishop streets","Bennett knolls",NA,"S4 5QG","3333340203","no","20200401-897954-B56680","2006-05-19","806c647abe7043d184e69377ae14c327","11cd4680c54049d6899fcb755e6a0d74","03289 130580","0837651567","hvqmd@bscnurfeda.ivn","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1986-12-09 16:54:19","20200401-897954-B56680","1974-11-04 11:26:37","1980-12-30 01:32:52","3333340203","E07 1ZN","2005-10-27","01803 52818","19","FALSE","9","yes","0615bbc1-2ee8-41ba-af43-9c3e0c127728","08519114101","03289 130580","FALSE","FALSE","TRUE","FALSE","2000-10-15 00:48:55",NA
"2157004774","20060924","Uriel","Tressa","Schaefer-Heathcote","73 Norman crossroad","Port Patriciaside","McDonald rapid","Whitehall","West Sussex","CA7 2BL","E84070","PINNER VIEW MEDICAL CENTRE","020 84271246","05463136840","03837491648","West Sussex","07H","1","1","1","1","0","0",NA,"1","Whitehall","no","Uriel","Tressa","Schaefer-Heathcote","Whitehall","Flat 7Stevens underpass","Richards pine","West Sussex","HX7 5NS","2157004774","yes","20200325-795602-CF5973","2007-04-20","512e3f9842c7460f9b27ed8910912f5f","ad0a897e22924033abb9b2ccd7e5b8e7","+44(0)4831 81033","0041119457","ca@wfrx.hez","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","2012-02-07 10:51:32","20200325-795602-CF5973","2005-06-07 13:21:29","2011-04-01 14:35:53","2157004774","B1 4BB","2007-02-20","+44(0)782635278","67","TRUE","9","no","46793ec8-ec32-4143-b716-192db8c61fa0","00718 87567","+44(0)4831 81033","FALSE","FALSE","TRUE","FALSE","1973-11-08 05:04:45",NA
"4455724469","20050830","Consuela","Breitenberg","Brakus","Flat 84LHooper station","Flynnport","Patel view","Netherurd","Scottish Borders","TR7 1EX","W00045","LLANDRINDOD WELLS CLINIC","07966769281","0447899933","03080 24733","Scottish Borders","03J","0","0","1","1","0","0","1","1","Netherurd","yes","Consuela","Breitenberg","Brakus","Netherurd","Flat 1Timothy orchard","Oliver neck","Scottish Borders","L6 8GD","4455724469","yes","20200323-158124-CEE892","2005-12-16","e10368e2872140deba075511097d24f5","8890f24f59fb4905a157284a123de8d6","(02952) 31793","+44(0)4304 995538","dlcny@dytjfsk.phx","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1992-07-22 01:12:19","20200323-158124-CEE892","1971-03-27 08:19:06","1983-04-10 13:08:49","4455724469","HD8 5GJ","2005-08-31","+44(0)2023 498533","96","TRUE","1","yes","047f0406-519e-451c-a0a9-f1e3d9359c3d","+44(0)608297920","(02952) 31793","FALSE","TRUE","FALSE","TRUE","2011-10-22 14:51:47",NA
"5546701511","20061024","Claude","Abshire-Ernser","WittingV","11 Cunningham valleys","Leonardfurt","Spencer shoals","Vernolds Common","Shropshire","CF14 7BY","Y05763","ELY LOCAL URGENT CARE SERVICE","01353 669923","+44(0)412319811","+44(0)0890077699","Shropshire","03J","1","0","1","0","0","1","0","1","Vernolds Common","yes","Claude","Abshire-Ernser","WittingV","Vernolds Common","1 Georgia mount","Morgan mountain","Shropshire","CV8X 3LU","5546701511","yes","20200410-863486-D40985","2006-10-28","e58b40006fcd470bbd17798a99f9b60f","c67846d86fdc47a687a335f820c01987","+44(0)1028 768719","+44(0)947869512","a@vueht.nbx","YES, I KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","2007-12-11 21:22:47","20200410-863486-D40985","1989-11-13 17:35:20","1997-02-17 17:36:57","5546701511","S9H 1YP","2006-01-11","(04928) 27338","49","FALSE","1","no","f5f3511e-0314-4263-ae9e-bc952a10d53f","(05997) 68236","+44(0)1028 768719","TRUE","FALSE","FALSE","TRUE","2018-08-27 04:45:46",NA
"1934023375","20060210","Percival","Olevia","Wehner","29 Griffin springs","Deborahville","Smith crossing","Rose Hill",NA,"BB12 8QY","N83608","DR MAASSARANI & PARTNERS","0151 2444001","(02296) 563082","+44(0)366371240",NA,"08F","1","1","0","0","0","1",NA,"1","Rose Hill","yes","Percival","Olevia","Wehner","Rose Hill","4 Ward corner","Jake extensions",NA,"SA8 2SE","1934023375","no","20200408-720032-B7BD55","2005-12-25","74666bb3875e4f3c95a3b4173e65dbed","33453d0afe7742aabb6c4ecbe297c813","04103 54099","00180 33011","vbe@uchxqs.rmd","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1983-03-12 16:10:39","20200408-720032-B7BD55","1998-11-25 18:06:10","2005-06-19 08:46:09","1934023375","W13 3LR","2006-12-07","06629 22403","82","TRUE","0","no","e8fcfa3f-8841-4b03-a9d0-7a892c39d9b1","+44(0)0553952665","04103 54099","FALSE","TRUE","TRUE","TRUE","1989-08-28 16:52:32",NA
"8824267384","20070121","Elton","Roob","BlandaI","Studio 17pAlex view","South Katyfort","Natasha crossroad","Mead","Devon","MK16 8HA","Y04239","NMP HCT - PALLIATIVE CARE TEAM","01462 427034","08722309258","+44(0)9196 697420","Devon","03N","1","1","1","1","0","1",NA,"1","Mead","yes","Elton","Roob","BlandaI","Mead","9 Thompson ferry","Matthews trace","Devon","E69 2LZ","8824267384","yes","20200414-855103-3456E7","2005-09-02","a771ee824bef4b9eaaf448409343a363","2512ab362e344b0297dfb245629fbb86","+44(0)4576 281983","(05178) 16853","zdubnroykm@kxy.flc","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1988-09-06 13:31:42","20200414-855103-3456E7","2000-04-11 04:18:25","2003-12-18 03:29:33","8824267384","RH23 2GJ","2006-02-05","(06411) 01387","98","TRUE","6","no","dbc40381-59de-4f09-9f3c-ca94a48bd7de","+44(0)6236277727","+44(0)4576 281983","TRUE","FALSE","FALSE","FALSE","2010-09-02 12:57:00",NA
"8875755873","20061104","Marlie","Sawyer","Bins","Studio 16Marian lakes","West Lynda","Gallagher burg","Williamstone Farm Steadings","East Lothian","AB24 2YN","Y04078","NON MEDICAL PRESCRIBING","01204 390390","02186411494","0413389282","East Lothian","97R","0","1","0","0","0","1","9","1","Williamstone Farm Steadings","yes","Marlie","Sawyer","Bins","Williamstone Farm Steadings","5 Abigail dale","Allen plain","East Lothian","L2 9AL","8875755873","no","20200417-565455-C19000","2006-01-09","fb3244ea6992489ab25ff14b908725b2","0df9f51b16174f5e95a9bf1bc4b03d27","(00174) 93382","(07575) 359360","yaozk@grz.qcj","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","2003-05-12 17:09:35","20200417-565455-C19000","1975-04-17 00:18:31","1983-11-06 11:18:19","8875755873","S49 4ZE","2005-05-19","0261285271","44","FALSE","2","yes","a4e3c3b8-88bc-4862-9527-94c55e97f759","09931432248","(00174) 93382","TRUE","TRUE","TRUE","FALSE","1979-01-12 17:28:50",NA
"6093114180","20060729","Edgardo","Schuppe","Sauer","Studio 1Barry burgs","East Dominic","Sutton expressway","Cherry Willingham","Lincolnshire","S6 5AZ","W00064","HAVEN WAY DAY","01437 774141","+44(0)3438 91374","+44(0)9734398627","Lincolnshire","01A","0","0","1","1","0","1","9","1","Cherry Willingham","no","Edgardo","Schuppe","Sauer","Cherry Willingham","29 Anthony plains","Leigh view","Lincolnshire","WV6N 7WA","6093114180","yes","20200330-667546-AADF2B","2007-01-19","0b507e5f49b24e359704a67f44afefe1","f910d7ccf2484f8c9841ae20f3e36efb","0427533790","(05771) 363521","swkey@joyilnwmz.dgc","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2001-02-03 13:26:37","20200330-667546-AADF2B","2017-04-12 05:24:09","1980-08-26 18:34:52","6093114180","BL7 2PB","2006-02-21","(04855) 68647","32","FALSE","4","yes","6b0ad892-81a1-40a7-b1f4-2b44a9086404","(01773) 979200","0427533790","TRUE","FALSE","TRUE","TRUE","2001-05-21 20:03:12",NA
"8883150438","20050826","Mechelle","Rogahn","Metz","30 Walsh underpass","Barryfurt","Bird passage","Alswear","Devon","WA4 1NJ","Y04092","SCHOOL COMMUNITY CLINICS","020 85866417","+44(0)920574623","0802698785","Devon","02M","0","1","1","0","1","1","2","0","Alswear","no","Mechelle","Rogahn","Metz","Alswear","Studio 21URiley burgs","Ferguson tunnel","Devon","E8 9NF","8883150438","yes","20200323-137768-7A6228","2005-09-30","79eeacbf5ab447d7a405bbd576bfb384","1c5a2af243144b49ba5c849eb3eca7c1","02091 165261","+44(0)659079628","gciznu@hb.qoe","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1994-10-01 15:42:46","20200323-137768-7A6228","2007-12-27 09:51:55","1984-01-23 08:59:27","8883150438","N3J 4FY","2006-10-28","(09379) 79026","7","TRUE","3","no","5bee9ca1-3c0d-4e91-8968-aca4e6a8a5ad","0971886625","02091 165261","FALSE","TRUE","TRUE","FALSE","2003-04-03 09:47:04",NA
"8632905781","20061111","Adams","Dickinson-Blick","Cassin","Studio 2Atkins harbor","Gavinville","Deborah cliffs","Well Street","Kent","FY2 0EZ","C81118","DERBY FAMILY MEDICAL CENTRE","01332 773243","+44(0)5192 90967","0689919195","Kent","02X","0","1","0","1","1","0","9","1","Well Street","yes","Adams","Dickinson-Blick","Cassin","Well Street","Flat 00Farrell hills","Bryan wall","Kent","M8S 1RP","8632905781","yes","20200407-262582-5ADB98","2005-07-25","3ff601eea0b147618b999f1d1f34e699","0fefaa68d7ca400d9087a05b06fba150","(00130) 517777","06945 186690","eiht@topmgkxz.lcq","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1975-10-01 11:09:26","20200407-262582-5ADB98","2008-05-22 01:03:50","1987-08-11 14:57:53","8632905781","LD97 5NY","2005-11-23","+44(0)0081616526","46","FALSE","2","yes","41dfd6c2-609f-4dec-882b-ac31b0ea628b","+44(0)328051186","(00130) 517777","FALSE","TRUE","FALSE","TRUE","2005-09-10 19:40:10",NA
